,genre,ranking,title,year,link
97,action__adventure,98,Annihilation,2018,https://www.rottentomatoes.com/m/annihilation
98,action__adventure,99,Wallace & Gromit: The Curse of the Were-Rabbit,2005,https://www.rottentomatoes.com/m/wallace_and_gromit_curse_of_the_wererabbit
99,action__adventure,100,Close Encounters of the Third Kind,1977,https://www.rottentomatoes.com/m/close_encounters_of_the_third_kind
100,animation,1,Inside Out,2015,https://www.rottentomatoes.com/m/inside_out_2015
101,animation,2,Coco,2017,https://www.rottentomatoes.com/m/coco_2017
102,animation,3,Snow White and the Seven Dwarfs,1937,https://www.rottentomatoes.com/m/1048445-snow_white_and_the_seven_dwarfs
103,animation,4,Incredibles 2,2018,https://www.rottentomatoes.com/m/incredibles_2
104,animation,5,Paddington 2,2018,https://www.rottentomatoes.com/m/paddington_2
105,animation,6,Zootopia,2016,https://www.rottentomatoes.com/m/zootopia
106,animation,7,Toy Story 2,1999,https://www.rottentomatoes.com/m/toy_story_2
107,animation,8,Up,2009,https://www.rottentomatoes.com/m/up
108,animation,9,Pinocchio,1940,https://www.rottentomatoes.com/m/pinocchio_1940
109,animation,10,Toy Story 3,2010,https://www.rottentomatoes.com/m/toy_story_3
110,animation,11,Finding Nemo,2003,https://www.rottentomatoes.com/m/finding_nemo
111,animation,12,Finding Dory,2016,https://www.rottentomatoes.com/m/finding_dory
112,animation,13,Moana,2016,https://www.rottentomatoes.com/m/moana_2016
113,animation,14,Toy Story,1995,https://www.rottentomatoes.com/m/toy_story
114,animation,15,The LEGO Movie,2014,https://www.rottentomatoes.com/m/the_lego_movie
115,animation,16,Kubo and the Two Strings,2016,https://www.rottentomatoes.com/m/kubo_and_the_two_strings_2016
116,animation,17,How to Train Your Dragon,2010,https://www.rottentomatoes.com/m/how_to_train_your_dragon
117,animation,18,Isle of Dogs,2018,https://www.rottentomatoes.com/m/isle_of_dogs_2018
118,animation,19,Shaun the Sheep Movie,2015,https://www.rottentomatoes.com/m/shaun_the_sheep_movie
119,animation,20,Dumbo,1941,https://www.rottentomatoes.com/m/dumbo
120,animation,21,WALL-E,2008,https://www.rottentomatoes.com/m/wall_e
121,animation,22,Ratatouille,2007,https://www.rottentomatoes.com/m/ratatouille
122,animation,23,Only Yesterday,1991,https://www.rottentomatoes.com/m/only_yesterday_1991
123,animation,24,The Incredibles,2004,https://www.rottentomatoes.com/m/incredibles
124,animation,25,Beauty and the Beast,1991,https://www.rottentomatoes.com/m/beauty_and_the_beast_1991
125,animation,26,Chicken Run,2000,https://www.rottentomatoes.com/m/chicken_run
126,animation,27,Yellow Submarine,1968,https://www.rottentomatoes.com/m/beatles_the_yellow_submarine
127,animation,28,My Life as a Zucchini (Ma vie de courgette),2017,https://www.rottentomatoes.com/m/my_life_as_a_zucchini
128,animation,29,101 Dalmatians,1961,https://www.rottentomatoes.com/m/101_dalmatians
129,animation,30,The Nightmare Before Christmas,1993,https://www.rottentomatoes.com/m/nightmare_before_christmas
130,animation,31,"Monsters, Inc.",2001,https://www.rottentomatoes.com/m/monsters_inc
131,animation,32,The Iron Giant,1999,https://www.rottentomatoes.com/m/iron_giant
132,animation,33,Spirited Away,2002,https://www.rottentomatoes.com/m/spirited_away
133,animation,34,Tower,2016,https://www.rottentomatoes.com/m/tower_2016
134,animation,35,Anomalisa,2015,https://www.rottentomatoes.com/m/anomalisa
135,animation,36,Song Of The Sea,2014,https://www.rottentomatoes.com/m/song_of_the_sea_2014
136,animation,37,The Lego Batman Movie,2017,https://www.rottentomatoes.com/m/the_lego_batman_movie
137,animation,38,The Lion King,1994,https://www.rottentomatoes.com/m/the_lion_king
138,animation,39,Who Framed Roger Rabbit,1988,https://www.rottentomatoes.com/m/who_framed_roger_rabbit
139,animation,40,Fantasia,1940,https://www.rottentomatoes.com/m/fantasia
140,animation,41,Waltz with Bashir,2008,https://www.rottentomatoes.com/m/waltz_with_bashir
141,animation,42,Your Name. (Kimi No Na Wa.),2017,https://www.rottentomatoes.com/m/your_name_2017
142,animation,43,Persepolis,2007,https://www.rottentomatoes.com/m/persepolis
143,animation,44,Wallace & Gromit: The Curse of the Were-Rabbit,2005,https://www.rottentomatoes.com/m/wallace_and_gromit_curse_of_the_wererabbit
144,animation,45,Grave of the Fireflies (Hotaru no haka),1988,https://www.rottentomatoes.com/m/grave_of_the_fireflies
145,animation,46,Aladdin,1992,https://www.rottentomatoes.com/m/disneys_aladdin
146,animation,47,The Secret World of Arrietty,2012,https://www.rottentomatoes.com/m/the_secret_world_of_arrietty
147,animation,48,Coraline,2009,https://www.rottentomatoes.com/m/coraline
148,animation,49,Fantastic Mr. Fox,2009,https://www.rottentomatoes.com/m/1197696-fantastic_mr_fox
149,animation,50,Ernest & Célestine,2014,https://www.rottentomatoes.com/m/ernest_and_celestine
150,animation,51,The Red Turtle (La tortue rouge),2017,https://www.rottentomatoes.com/m/the_red_turtle
151,animation,52,Long Way North (Tout en haut du monde),2016,https://www.rottentomatoes.com/m/long_way_north
152,animation,53,Frozen,2013,https://www.rottentomatoes.com/m/frozen_2013
153,animation,54,How to Train Your Dragon 2,2014,https://www.rottentomatoes.com/m/how_to_train_your_dragon_2
154,animation,55,The Breadwinner,2017,https://www.rottentomatoes.com/m/the_breadwinner
155,animation,56,Ghost in the Shell,1996,https://www.rottentomatoes.com/m/ghost_in_the_shell
156,animation,57,Bambi,1942,https://www.rottentomatoes.com/m/bambi
157,animation,58,The Little Mermaid,1989,https://www.rottentomatoes.com/m/the_little_mermaid_1989
158,animation,59,Lady and the Tramp,1955,https://www.rottentomatoes.com/m/lady_and_the_tramp
159,animation,60,Antz,1998,https://www.rottentomatoes.com/m/antz
160,animation,61,The Triplets of Belleville,2003,https://www.rottentomatoes.com/m/the_triplets_of_belleville
161,animation,62,Princess Mononoke (Mononoke-hime),1999,https://www.rottentomatoes.com/m/princess_mononoke_1999
162,animation,63,My Neighbor Totoro,1988,https://www.rottentomatoes.com/m/my_neighbor_totoro
163,animation,64,Big Hero 6,2014,https://www.rottentomatoes.com/m/big_hero_6
164,animation,65,Ponyo,2009,https://www.rottentomatoes.com/m/ponyo
165,animation,66,Arthur Christmas,2011,https://www.rottentomatoes.com/m/arthur_christmas
166,animation,67,A Bug's Life,1998,https://www.rottentomatoes.com/m/bugs_life
167,animation,68,Mary and Max,2009,https://www.rottentomatoes.com/m/1209767-mary_and_max
168,animation,69,Teen Titans Go! To the Movies,2018,https://www.rottentomatoes.com/m/teen_titans_go_to_the_movies
169,animation,70,Bolt,2008,https://www.rottentomatoes.com/m/bolt
170,animation,71,Shrek 2,2004,https://www.rottentomatoes.com/m/shrek_2
171,animation,72,Tangled,2010,https://www.rottentomatoes.com/m/tangled
172,animation,73,The Simpsons Movie,2007,https://www.rottentomatoes.com/m/simpsons_movie
173,animation,74,James and the Giant Peach,1996,https://www.rottentomatoes.com/m/james_and_the_giant_peach
174,animation,75,Frankenweenie,2012,https://www.rottentomatoes.com/m/frankenweenie_2012
175,animation,76,Shrek,2001,https://www.rottentomatoes.com/m/shrek
176,animation,77,Rango,2011,https://www.rottentomatoes.com/m/rango
177,animation,78,The Wind Rises,2014,https://www.rottentomatoes.com/m/the_wind_rises
178,animation,79,Winnie the Pooh,2011,https://www.rottentomatoes.com/m/winnie_the_pooh_2011
179,animation,80,Boy and the World (O Menino e o Mundo),2015,https://www.rottentomatoes.com/m/boy_and_the_world
180,animation,81,The Illusionist (L'illusionniste),2010,https://www.rottentomatoes.com/m/the_illusionist-2009
181,animation,82,ParaNorman,2012,https://www.rottentomatoes.com/m/paranorman
182,animation,83,Millennium Actress (Sennen joyû),2001,https://www.rottentomatoes.com/m/millennium_actress_2001
183,animation,84,The Peanuts Movie,2015,https://www.rottentomatoes.com/m/the_peanuts_movie
184,animation,85,When Marnie Was There,2015,https://www.rottentomatoes.com/m/when_marnie_was_there
185,animation,86,Kung Fu Panda,2008,https://www.rottentomatoes.com/m/kung_fu_panda
186,animation,87,Wreck-it Ralph,2012,https://www.rottentomatoes.com/m/wreck_it_ralph
187,animation,88,Tarzan,1999,https://www.rottentomatoes.com/m/tarzan
188,animation,89,Kung Fu Panda 3,2016,https://www.rottentomatoes.com/m/kung_fu_panda_3
189,animation,90,Captain Underpants: The First Epic Movie (Captain Underpants),2017,https://www.rottentomatoes.com/m/captain_underpants_the_first_epic_movie
190,animation,91,Howl's Moving Castle,2005,https://www.rottentomatoes.com/m/howls_moving_castle
191,animation,92,The Secret of Kells,2010,https://www.rottentomatoes.com/m/the-secret-of-kells
192,animation,93,Sleeping Beauty,1959,https://www.rottentomatoes.com/m/1019187-sleeping_beauty
193,animation,94,Akira,1988,https://www.rottentomatoes.com/m/akira
194,animation,95,Mary and The Witch's Flower,2018,https://www.rottentomatoes.com/m/mary_and_the_witchs_flower
195,animation,96,The Boy And The Beast (Bakemono No Ko),2016,https://www.rottentomatoes.com/m/the_boy_and_the_beast
196,animation,97,Sausage Party,2016,https://www.rottentomatoes.com/m/sausage_party
197,animation,98,Tokyo Godfathers,2003,https://www.rottentomatoes.com/m/tokyo_godfathers
198,animation,99,The Pirates! Band of Misfits,2012,https://www.rottentomatoes.com/m/the_pirates_band_of_misfits
199,animation,100,Loving Vincent,2017,https://www.rottentomatoes.com/m/loving_vincent
200,art_house__international,1,La Grande illusion (Grand Illusion),1938,https://www.rottentomatoes.com/m/la_grande_illusion
201,art_house__international,2,The Cabinet of Dr. Caligari (Das Cabinet des Dr. Caligari),1920,https://www.rottentomatoes.com/m/the_cabinet_of_dr_caligari
202,art_house__international,3,Metropolis,1927,https://www.rottentomatoes.com/m/1013775-metropolis
203,art_house__international,4,"Nosferatu, a Symphony of Horror (Nosferatu, eine Symphonie des Grauens) (Nosferatu the Vampire)",1922,https://www.rottentomatoes.com/m/nosferatu
204,art_house__international,5,The Battle of Algiers (La Battaglia di Algeri),1967,https://www.rottentomatoes.com/m/the_battle_of_algiers
205,art_house__international,6,Seven Samurai (Shichinin no Samurai),1956,https://www.rottentomatoes.com/m/seven_samurai_1956
206,art_house__international,7,M,1931,https://www.rottentomatoes.com/m/1012928-m
207,art_house__international,8,The 400 Blows (Les Quatre cents coups),1959,https://www.rottentomatoes.com/m/400_blows
208,art_house__international,9,Rashômon,1951,https://www.rottentomatoes.com/m/rashomon
209,art_house__international,10,Army of Shadows (L'Armée des ombres),1969,https://www.rottentomatoes.com/m/army_of_shadows
210,art_house__international,11,Open City,1946,https://www.rottentomatoes.com/m/open_city
211,art_house__international,12,The Wages of Fear,1953,https://www.rottentomatoes.com/m/wages_of_fear
